model_id,sigma,group,tier,n,correct,acc
Qwen--Qwen3.5-397B-A17B,32,all,all,300,25,0.083333
Qwen--Qwen3.5-397B-A17B,32,image_required,L1,67,17,0.253731
Qwen--Qwen3.5-397B-A17B,32,image_required,L2,31,2,0.064516
Qwen--Qwen3.5-397B-A17B,32,image_required,L3,118,3,0.025424
Qwen--Qwen3.5-397B-A17B,32,image_required,L4,43,1,0.023256
Qwen--Qwen3.5-397B-A17B,32,image_required,L5,37,0,0.0
Qwen--Qwen3.5-397B-A17B,32,image_required,all,296,23,0.077703
Qwen--Qwen3.5-397B-A17B,32,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,32,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,4,all,L1,71,54,0.760563
Qwen--Qwen3.5-397B-A17B,4,all,L2,31,14,0.451613
Qwen--Qwen3.5-397B-A17B,4,all,L3,118,46,0.389831
Qwen--Qwen3.5-397B-A17B,4,all,L4,43,15,0.348837
Qwen--Qwen3.5-397B-A17B,4,all,L5,37,15,0.405405
Qwen--Qwen3.5-397B-A17B,4,all,all,300,144,0.48
Qwen--Qwen3.5-397B-A17B,4,image_required,L1,67,52,0.776119
Qwen--Qwen3.5-397B-A17B,4,image_required,L2,31,14,0.451613
Qwen--Qwen3.5-397B-A17B,4,image_required,L3,118,46,0.389831
Qwen--Qwen3.5-397B-A17B,4,image_required,L4,43,15,0.348837
Qwen--Qwen3.5-397B-A17B,4,image_required,L5,37,15,0.405405
Qwen--Qwen3.5-397B-A17B,4,image_required,all,296,142,0.47973
Qwen--Qwen3.5-397B-A17B,4,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,4,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,64,all,L1,71,13,0.183099
Qwen--Qwen3.5-397B-A17B,64,all,L2,31,10,0.322581
Qwen--Qwen3.5-397B-A17B,64,all,L3,118,0,0.0
Qwen--Qwen3.5-397B-A17B,64,all,L4,43,0,0.0
Qwen--Qwen3.5-397B-A17B,64,all,L5,37,0,0.0
Qwen--Qwen3.5-397B-A17B,64,all,all,300,23,0.076667
Qwen--Qwen3.5-397B-A17B,64,image_required,L1,67,12,0.179104
Qwen--Qwen3.5-397B-A17B,64,image_required,L2,31,10,0.322581
Qwen--Qwen3.5-397B-A17B,64,image_required,L3,118,0,0.0
Qwen--Qwen3.5-397B-A17B,64,image_required,L4,43,0,0.0
Qwen--Qwen3.5-397B-A17B,64,image_required,L5,37,0,0.0
Qwen--Qwen3.5-397B-A17B,64,image_required,all,296,22,0.074324
Qwen--Qwen3.5-397B-A17B,64,text_answerable,L1,4,1,0.25
Qwen--Qwen3.5-397B-A17B,64,text_answerable,all,4,1,0.25
Qwen--Qwen3.5-397B-A17B,8,all,L1,71,42,0.591549
Qwen--Qwen3.5-397B-A17B,8,all,L2,31,10,0.322581
Qwen--Qwen3.5-397B-A17B,8,all,L3,118,32,0.271186
Qwen--Qwen3.5-397B-A17B,8,all,L4,43,14,0.325581
Qwen--Qwen3.5-397B-A17B,8,all,L5,37,10,0.27027
Qwen--Qwen3.5-397B-A17B,8,all,all,300,108,0.36
Qwen--Qwen3.5-397B-A17B,8,image_required,L1,67,40,0.597015
Qwen--Qwen3.5-397B-A17B,8,image_required,L2,31,10,0.322581
Qwen--Qwen3.5-397B-A17B,8,image_required,L3,118,32,0.271186
Qwen--Qwen3.5-397B-A17B,8,image_required,L4,43,14,0.325581
Qwen--Qwen3.5-397B-A17B,8,image_required,L5,37,10,0.27027
Qwen--Qwen3.5-397B-A17B,8,image_required,all,296,106,0.358108
Qwen--Qwen3.5-397B-A17B,8,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,8,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,inf,all,L1,71,7,0.098592
Qwen--Qwen3.5-397B-A17B,inf,all,L2,31,3,0.096774
Qwen--Qwen3.5-397B-A17B,inf,all,L3,118,13,0.110169
Qwen--Qwen3.5-397B-A17B,inf,all,L4,43,2,0.046512
Qwen--Qwen3.5-397B-A17B,inf,all,L5,37,5,0.135135
Qwen--Qwen3.5-397B-A17B,inf,all,all,300,30,0.1
Qwen--Qwen3.5-397B-A17B,inf,image_required,L1,67,6,0.089552
Qwen--Qwen3.5-397B-A17B,inf,image_required,L2,31,3,0.096774
Qwen--Qwen3.5-397B-A17B,inf,image_required,L3,118,13,0.110169
Qwen--Qwen3.5-397B-A17B,inf,image_required,L4,43,2,0.046512
Qwen--Qwen3.5-397B-A17B,inf,image_required,L5,37,5,0.135135
Qwen--Qwen3.5-397B-A17B,inf,image_required,all,296,29,0.097973
Qwen--Qwen3.5-397B-A17B,inf,text_answerable,L1,4,1,0.25
Qwen--Qwen3.5-397B-A17B,inf,text_answerable,all,4,1,0.25
claude-sonnet-4-6,0,all,L1,71,61,0.859155
claude-sonnet-4-6,0,all,L2,31,20,0.645161
claude-sonnet-4-6,0,all,L3,118,77,0.652542
claude-sonnet-4-6,0,all,L4,43,22,0.511628
claude-sonnet-4-6,0,all,L5,37,17,0.459459
claude-sonnet-4-6,0,all,all,300,197,0.656667
claude-sonnet-4-6,0,image_required,L1,67,59,0.880597
claude-sonnet-4-6,0,image_required,L2,31,20,0.645161
claude-sonnet-4-6,0,image_required,L3,118,77,0.652542
claude-sonnet-4-6,0,image_required,L4,43,22,0.511628
claude-sonnet-4-6,0,image_required,L5,37,17,0.459459
claude-sonnet-4-6,0,image_required,all,296,195,0.658784
claude-sonnet-4-6,0,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,0,text_answerable,all,4,2,0.5
claude-sonnet-4-6,16,all,L1,71,38,0.535211
claude-sonnet-4-6,16,all,L2,31,12,0.387097
claude-sonnet-4-6,16,all,L3,118,23,0.194915
claude-sonnet-4-6,16,all,L4,43,13,0.302326
claude-sonnet-4-6,16,all,L5,37,7,0.189189
claude-sonnet-4-6,16,all,all,300,93,0.31
claude-sonnet-4-6,16,image_required,L1,67,36,0.537313
claude-sonnet-4-6,16,image_required,L2,31,12,0.387097
claude-sonnet-4-6,16,image_required,L3,118,23,0.194915
claude-sonnet-4-6,16,image_required,L4,43,13,0.302326
claude-sonnet-4-6,16,image_required,L5,37,7,0.189189
claude-sonnet-4-6,16,image_required,all,296,91,0.307432
claude-sonnet-4-6,16,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,16,text_answerable,all,4,2,0.5
claude-sonnet-4-6,2,all,L1,71,59,0.830986
claude-sonnet-4-6,2,all,L2,31,20,0.645161
claude-sonnet-4-6,2,all,L3,118,74,0.627119
claude-sonnet-4-6,2,all,L4,43,23,0.534884
claude-sonnet-4-6,2,all,L5,37,19,0.513514
claude-sonnet-4-6,2,all,all,300,195,0.65
claude-sonnet-4-6,2,image_required,L1,67,57,0.850746
claude-sonnet-4-6,2,image_required,L2,31,20,0.645161
claude-sonnet-4-6,2,image_required,L3,118,74,0.627119
claude-sonnet-4-6,2,image_required,L4,43,23,0.534884
claude-sonnet-4-6,2,image_required,L5,37,19,0.513514
claude-sonnet-4-6,2,image_required,all,296,193,0.652027
claude-sonnet-4-6,2,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,2,text_answerable,all,4,2,0.5
claude-sonnet-4-6,32,all,L1,71,22,0.309859
claude-sonnet-4-6,32,all,L2,31,8,0.258065
claude-sonnet-4-6,32,all,L3,118,8,0.067797
claude-sonnet-4-6,32,all,L4,43,4,0.093023
claude-sonnet-4-6,32,all,L5,37,2,0.054054
claude-sonnet-4-6,32,all,all,300,44,0.146667
claude-sonnet-4-6,32,image_required,L1,67,20,0.298507
claude-sonnet-4-6,32,image_required,L2,31,8,0.258065
claude-sonnet-4-6,32,image_required,L3,118,8,0.067797
claude-sonnet-4-6,32,image_required,L4,43,4,0.093023
claude-sonnet-4-6,32,image_required,L5,37,2,0.054054
claude-sonnet-4-6,32,image_required,all,296,42,0.141892
claude-sonnet-4-6,32,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,32,text_answerable,all,4,2,0.5
claude-sonnet-4-6,4,all,L1,71,58,0.816901
claude-sonnet-4-6,4,all,L2,31,14,0.451613
claude-sonnet-4-6,4,all,L3,118,62,0.525424
claude-sonnet-4-6,4,all,L4,43,20,0.465116
claude-sonnet-4-6,4,all,L5,37,15,0.405405
claude-sonnet-4-6,4,all,all,300,169,0.563333
claude-sonnet-4-6,4,image_required,L1,67,56,0.835821
claude-sonnet-4-6,4,image_required,L2,31,14,0.451613
claude-sonnet-4-6,4,image_required,L3,118,62,0.525424
claude-sonnet-4-6,4,image_required,L4,43,20,0.465116
claude-sonnet-4-6,4,image_required,L5,37,15,0.405405
claude-sonnet-4-6,4,image_required,all,296,167,0.564189
claude-sonnet-4-6,4,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,4,text_answerable,all,4,2,0.5
claude-sonnet-4-6,64,all,L1,71,10,0.140845
claude-sonnet-4-6,64,all,L2,31,4,0.129032
claude-sonnet-4-6,64,all,L3,118,0,0.0
claude-sonnet-4-6,64,all,L4,43,0,0.0
claude-sonnet-4-6,64,all,L5,37,0,0.0
claude-sonnet-4-6,64,all,all,300,14,0.046667
claude-sonnet-4-6,64,image_required,L1,67,8,0.119403
claude-sonnet-4-6,64,image_required,L2,31,4,0.129032
claude-sonnet-4-6,64,image_required,L3,118,0,0.0
claude-sonnet-4-6,64,image_required,L4,43,0,0.0
claude-sonnet-4-6,64,image_required,L5,37,0,0.0
claude-sonnet-4-6,64,image_required,all,296,12,0.040541
claude-sonnet-4-6,64,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,64,text_answerable,all,4,2,0.5
claude-sonnet-4-6,8,all,L1,71,51,0.71831
claude-sonnet-4-6,8,all,L2,31,15,0.483871
claude-sonnet-4-6,8,all,L3,118,45,0.381356
claude-sonnet-4-6,8,all,L4,43,18,0.418605
claude-sonnet-4-6,8,all,L5,37,14,0.378378
claude-sonnet-4-6,8,all,all,300,143,0.476667
claude-sonnet-4-6,8,image_required,L1,67,49,0.731343
claude-sonnet-4-6,8,image_required,L2,31,15,0.483871
claude-sonnet-4-6,8,image_required,L3,118,45,0.381356
claude-sonnet-4-6,8,image_required,L4,43,18,0.418605
claude-sonnet-4-6,8,image_required,L5,37,14,0.378378
claude-sonnet-4-6,8,image_required,all,296,141,0.476351
claude-sonnet-4-6,8,text_answerable,L1,4,2,0.5
claude-sonnet-4-6,8,text_answerable,all,4,2,0.5
claude-sonnet-4-6,inf,all,L1,71,3,0.042254
claude-sonnet-4-6,inf,all,L2,31,5,0.16129
claude-sonnet-4-6,inf,all,L3,118,10,0.084746
claude-sonnet-4-6,inf,all,L4,43,6,0.139535
claude-sonnet-4-6,inf,all,L5,37,4,0.108108
claude-sonnet-4-6,inf,all,all,300,28,0.093333
claude-sonnet-4-6,inf,image_required,L1,67,2,0.029851
claude-sonnet-4-6,inf,image_required,L2,31,5,0.16129
claude-sonnet-4-6,inf,image_required,L3,118,10,0.084746
claude-sonnet-4-6,inf,image_required,L4,43,6,0.139535
claude-sonnet-4-6,inf,image_required,L5,37,4,0.108108
claude-sonnet-4-6,inf,image_required,all,296,27,0.091216
claude-sonnet-4-6,inf,text_answerable,L1,4,1,0.25
claude-sonnet-4-6,inf,text_answerable,all,4,1,0.25
gpt-4o,0,all,L1,71,63,0.887324
gpt-4o,0,all,L2,31,19,0.612903
gpt-4o,0,all,L3,118,58,0.491525
gpt-4o,0,all,L4,43,20,0.465116
gpt-4o,0,all,L5,37,17,0.459459
gpt-4o,0,all,all,300,177,0.59
gpt-4o,0,image_required,L1,67,61,0.910448
gpt-4o,0,image_required,L2,31,19,0.612903
gpt-4o,0,image_required,L3,118,58,0.491525
gpt-4o,0,image_required,L4,43,20,0.465116
gpt-4o,0,image_required,L5,37,17,0.459459
gpt-4o,0,image_required,all,296,175,0.591216
gpt-4o,0,text_answerable,L1,4,2,0.5
gpt-4o,0,text_answerable,all,4,2,0.5
gpt-4o,16,all,L1,71,44,0.619718
gpt-4o,16,all,L2,31,6,0.193548
gpt-4o,16,all,L3,118,29,0.245763
gpt-4o,16,all,L4,43,12,0.27907
gpt-4o,16,all,L5,37,13,0.351351
gpt-4o,16,all,all,300,104,0.346667
gpt-4o,16,image_required,L1,67,42,0.626866
gpt-4o,16,image_required,L2,31,6,0.193548
gpt-4o,16,image_required,L3,118,29,0.245763
gpt-4o,16,image_required,L4,43,12,0.27907
gpt-4o,16,image_required,L5,37,13,0.351351
gpt-4o,16,image_required,all,296,102,0.344595
gpt-4o,16,text_answerable,L1,4,2,0.5
gpt-4o,16,text_answerable,all,4,2,0.5
gpt-4o,2,all,L1,71,62,0.873239
gpt-4o,2,all,L2,31,20,0.645161
gpt-4o,2,all,L3,118,57,0.483051
gpt-4o,2,all,L4,43,16,0.372093
gpt-4o,2,all,L5,37,21,0.567568
gpt-4o,2,all,all,300,176,0.586667
gpt-4o,2,image_required,L1,67,60,0.895522
gpt-4o,2,image_required,L2,31,20,0.645161
gpt-4o,2,image_required,L3,118,57,0.483051
gpt-4o,2,image_required,L4,43,16,0.372093
gpt-4o,2,image_required,L5,37,21,0.567568
gpt-4o,2,image_required,all,296,174,0.587838
gpt-4o,2,text_answerable,L1,4,2,0.5
gpt-4o,2,text_answerable,all,4,2,0.5
gpt-4o,32,all,L1,71,32,0.450704
gpt-4o,32,all,L2,31,3,0.096774
gpt-4o,32,all,L3,118,15,0.127119
gpt-4o,32,all,L4,43,4,0.093023
gpt-4o,32,all,L5,37,3,0.081081
gpt-4o,32,all,all,300,57,0.19
gpt-4o,32,image_required,L1,67,30,0.447761
gpt-4o,32,image_required,L2,31,3,0.096774
gpt-4o,32,image_required,L3,118,15,0.127119
gpt-4o,32,image_required,L4,43,4,0.093023
gpt-4o,32,image_required,L5,37,3,0.081081
gpt-4o,32,image_required,all,296,55,0.185811
gpt-4o,32,text_answerable,L1,4,2,0.5
gpt-4o,32,text_answerable,all,4,2,0.5
gpt-4o,4,all,L1,71,60,0.84507
gpt-4o,4,all,L2,31,17,0.548387
gpt-4o,4,all,L3,118,45,0.381356
gpt-4o,4,all,L4,43,17,0.395349
gpt-4o,4,all,L5,37,12,0.324324
gpt-4o,4,all,all,300,151,0.503333
gpt-4o,4,image_required,L1,67,58,0.865672
gpt-4o,4,image_required,L2,31,17,0.548387
gpt-4o,4,image_required,L3,118,45,0.381356
gpt-4o,4,image_required,L4,43,17,0.395349
gpt-4o,4,image_required,L5,37,12,0.324324
gpt-4o,4,image_required,all,296,149,0.503378
gpt-4o,4,text_answerable,L1,4,2,0.5
gpt-4o,4,text_answerable,all,4,2,0.5
gpt-4o,64,all,L1,71,21,0.295775
gpt-4o,64,all,L2,31,1,0.032258
gpt-4o,64,all,L3,118,17,0.144068
gpt-4o,64,all,L4,43,4,0.093023
gpt-4o,64,all,L5,37,3,0.081081
gpt-4o,64,all,all,300,46,0.153333
gpt-4o,64,image_required,L1,67,19,0.283582
gpt-4o,64,image_required,L2,31,1,0.032258
gpt-4o,64,image_required,L3,118,17,0.144068
gpt-4o,64,image_required,L4,43,4,0.093023
gpt-4o,64,image_required,L5,37,3,0.081081
gpt-4o,64,image_required,all,296,44,0.148649
gpt-4o,64,text_answerable,L1,4,2,0.5
gpt-4o,64,text_answerable,all,4,2,0.5
gpt-4o,8,all,L1,71,57,0.802817
gpt-4o,8,all,L2,31,12,0.387097
gpt-4o,8,all,L3,118,40,0.338983
gpt-4o,8,all,L4,43,16,0.372093
gpt-4o,8,all,L5,37,14,0.378378
gpt-4o,8,all,all,300,139,0.463333
gpt-4o,8,image_required,L1,67,55,0.820896
gpt-4o,8,image_required,L2,31,12,0.387097
gpt-4o,8,image_required,L3,118,40,0.338983
gpt-4o,8,image_required,L4,43,16,0.372093
gpt-4o,8,image_required,L5,37,14,0.378378
gpt-4o,8,image_required,all,296,137,0.462838
gpt-4o,8,text_answerable,L1,4,2,0.5
gpt-4o,8,text_answerable,all,4,2,0.5
gpt-4o,inf,all,L1,71,3,0.042254
gpt-4o,inf,all,L2,31,3,0.096774
gpt-4o,inf,all,L3,118,8,0.067797
gpt-4o,inf,all,L4,43,0,0.0
gpt-4o,inf,all,L5,37,2,0.054054
gpt-4o,inf,all,all,300,16,0.053333
gpt-4o,inf,image_required,L1,67,2,0.029851
gpt-4o,inf,image_required,L2,31,3,0.096774
gpt-4o,inf,image_required,L3,118,8,0.067797
gpt-4o,inf,image_required,L4,43,0,0.0
gpt-4o,inf,image_required,L5,37,2,0.054054
gpt-4o,inf,image_required,all,296,15,0.050676
gpt-4o,inf,text_answerable,L1,4,1,0.25
gpt-4o,inf,text_answerable,all,4,1,0.25
huatuogpt-vision-7b,0,all,L1,71,58,0.816901
huatuogpt-vision-7b,0,all,L2,31,12,0.387097
huatuogpt-vision-7b,0,all,L3,118,56,0.474576
huatuogpt-vision-7b,0,all,L4,43,23,0.534884
huatuogpt-vision-7b,0,all,L5,37,17,0.459459
huatuogpt-vision-7b,0,all,all,300,166,0.553333
huatuogpt-vision-7b,0,image_required,L1,67,56,0.835821
huatuogpt-vision-7b,0,image_required,L2,31,12,0.387097
huatuogpt-vision-7b,0,image_required,L3,118,56,0.474576
huatuogpt-vision-7b,0,image_required,L4,43,23,0.534884
huatuogpt-vision-7b,0,image_required,L5,37,17,0.459459
huatuogpt-vision-7b,0,image_required,all,296,164,0.554054
huatuogpt-vision-7b,0,text_answerable,L1,4,2,0.5
huatuogpt-vision-7b,0,text_answerable,all,4,2,0.5
huatuogpt-vision-7b,16,all,L1,71,26,0.366197
huatuogpt-vision-7b,16,all,L2,31,6,0.193548
huatuogpt-vision-7b,16,all,L3,118,33,0.279661
huatuogpt-vision-7b,16,all,L4,43,12,0.27907
huatuogpt-vision-7b,16,all,L5,37,8,0.216216
huatuogpt-vision-7b,16,all,all,300,85,0.283333
huatuogpt-vision-7b,16,image_required,L1,67,24,0.358209
huatuogpt-vision-7b,16,image_required,L2,31,6,0.193548
huatuogpt-vision-7b,16,image_required,L3,118,33,0.279661
huatuogpt-vision-7b,16,image_required,L4,43,12,0.27907
huatuogpt-vision-7b,16,image_required,L5,37,8,0.216216
huatuogpt-vision-7b,16,image_required,all,296,83,0.280405
huatuogpt-vision-7b,16,text_answerable,L1,4,2,0.5
huatuogpt-vision-7b,16,text_answerable,all,4,2,0.5
huatuogpt-vision-7b,2,all,L1,71,58,0.816901
huatuogpt-vision-7b,2,all,L2,31,13,0.419355
huatuogpt-vision-7b,2,all,L3,118,58,0.491525
huatuogpt-vision-7b,2,all,L4,43,22,0.511628
huatuogpt-vision-7b,2,all,L5,37,17,0.459459
huatuogpt-vision-7b,2,all,all,300,168,0.56
huatuogpt-vision-7b,2,image_required,L1,67,56,0.835821
huatuogpt-vision-7b,2,image_required,L2,31,13,0.419355
huatuogpt-vision-7b,2,image_required,L3,118,58,0.491525
huatuogpt-vision-7b,2,image_required,L4,43,22,0.511628
huatuogpt-vision-7b,2,image_required,L5,37,17,0.459459
huatuogpt-vision-7b,2,image_required,all,296,166,0.560811
huatuogpt-vision-7b,2,text_answerable,L1,4,2,0.5
huatuogpt-vision-7b,2,text_answerable,all,4,2,0.5
huatuogpt-vision-7b,32,all,L1,71,7,0.098592
huatuogpt-vision-7b,32,all,L2,31,3,0.096774
huatuogpt-vision-7b,32,all,L3,118,28,0.237288
huatuogpt-vision-7b,32,all,L4,43,10,0.232558
huatuogpt-vision-7b,32,all,L5,37,5,0.135135
huatuogpt-vision-7b,32,all,all,300,53,0.176667
huatuogpt-vision-7b,32,image_required,L1,67,6,0.089552
huatuogpt-vision-7b,32,image_required,L2,31,3,0.096774
huatuogpt-vision-7b,32,image_required,L3,118,28,0.237288
huatuogpt-vision-7b,32,image_required,L4,43,10,0.232558
huatuogpt-vision-7b,32,image_required,L5,37,5,0.135135
huatuogpt-vision-7b,32,image_required,all,296,52,0.175676
huatuogpt-vision-7b,32,text_answerable,L1,4,1,0.25
huatuogpt-vision-7b,32,text_answerable,all,4,1,0.25
huatuogpt-vision-7b,4,all,L1,71,52,0.732394
huatuogpt-vision-7b,4,all,L2,31,12,0.387097
huatuogpt-vision-7b,4,all,L3,118,55,0.466102
huatuogpt-vision-7b,4,all,L4,43,22,0.511628
huatuogpt-vision-7b,4,all,L5,37,17,0.459459
huatuogpt-vision-7b,4,all,all,300,158,0.526667
huatuogpt-vision-7b,4,image_required,L1,67,50,0.746269
huatuogpt-vision-7b,4,image_required,L2,31,12,0.387097
huatuogpt-vision-7b,4,image_required,L3,118,55,0.466102
huatuogpt-vision-7b,4,image_required,L4,43,22,0.511628
huatuogpt-vision-7b,4,image_required,L5,37,17,0.459459
huatuogpt-vision-7b,4,image_required,all,296,156,0.527027
huatuogpt-vision-7b,4,text_answerable,L1,4,2,0.5
huatuogpt-vision-7b,4,text_answerable,all,4,2,0.5
huatuogpt-vision-7b,64,all,L1,71,2,0.028169
huatuogpt-vision-7b,64,all,L2,31,4,0.129032
huatuogpt-vision-7b,64,all,L3,118,20,0.169492
huatuogpt-vision-7b,64,all,L4,43,7,0.162791
huatuogpt-vision-7b,64,all,L5,37,7,0.189189
huatuogpt-vision-7b,64,all,all,300,40,0.133333
huatuogpt-vision-7b,64,image_required,L1,67,1,0.014925
huatuogpt-vision-7b,64,image_required,L2,31,4,0.129032
huatuogpt-vision-7b,64,image_required,L3,118,20,0.169492
huatuogpt-vision-7b,64,image_required,L4,43,7,0.162791
huatuogpt-vision-7b,64,image_required,L5,37,7,0.189189
huatuogpt-vision-7b,64,image_required,all,296,39,0.131757
huatuogpt-vision-7b,64,text_answerable,L1,4,1,0.25
huatuogpt-vision-7b,64,text_answerable,all,4,1,0.25
huatuogpt-vision-7b,8,all,L1,71,40,0.56338
huatuogpt-vision-7b,8,all,L2,31,9,0.290323
huatuogpt-vision-7b,8,all,L3,118,46,0.389831
huatuogpt-vision-7b,8,all,L4,43,18,0.418605
huatuogpt-vision-7b,8,all,L5,37,16,0.432432
huatuogpt-vision-7b,8,all,all,300,129,0.43
huatuogpt-vision-7b,8,image_required,L1,67,38,0.567164
huatuogpt-vision-7b,8,image_required,L2,31,9,0.290323
huatuogpt-vision-7b,8,image_required,L3,118,46,0.389831
huatuogpt-vision-7b,8,image_required,L4,43,18,0.418605
huatuogpt-vision-7b,8,image_required,L5,37,16,0.432432
huatuogpt-vision-7b,8,image_required,all,296,127,0.429054
huatuogpt-vision-7b,8,text_answerable,L1,4,2,0.5
huatuogpt-vision-7b,8,text_answerable,all,4,2,0.5
huatuogpt-vision-7b,inf,all,L1,71,7,0.098592
huatuogpt-vision-7b,inf,all,L2,31,3,0.096774
huatuogpt-vision-7b,inf,all,L3,118,33,0.279661
huatuogpt-vision-7b,inf,all,L4,43,14,0.325581
huatuogpt-vision-7b,inf,all,L5,37,5,0.135135
huatuogpt-vision-7b,inf,all,all,300,62,0.206667
huatuogpt-vision-7b,inf,image_required,L1,67,6,0.089552
huatuogpt-vision-7b,inf,image_required,L2,31,3,0.096774
huatuogpt-vision-7b,inf,image_required,L3,118,33,0.279661
huatuogpt-vision-7b,inf,image_required,L4,43,14,0.325581
huatuogpt-vision-7b,inf,image_required,L5,37,5,0.135135
huatuogpt-vision-7b,inf,image_required,all,296,61,0.206081
huatuogpt-vision-7b,inf,text_answerable,L1,4,1,0.25
huatuogpt-vision-7b,inf,text_answerable,all,4,1,0.25
