probe_id,computed_answer,target,gap_mm,growth_mm,severity
pancreas_021_lesion2_kidney_right_g42.3,yes,kidney_right,39.8,42.3,L4
pancreas_037_lesion1_kidney_left_g38.2,yes,kidney_left,33.24,38.2,L4
pancreas_043_lesion1_lung_lower_lobe_left_g27.8,no,lung_lower_lobe_left,36.59,27.8,L2
pancreas_081_lesion1_portal_vein_and_splenic_vein_g12.3,yes,portal_vein_and_splenic_vein,7.73,12.3,L5
pancreas_114_lesion1_duodenum_g15.7,yes,duodenum,11.66,15.7,L3
pancreas_114_lesion1_adrenal_gland_left_g21.6,no,adrenal_gland_left,31.59,21.6,L4
pancreas_126_lesion1_pancreas_g1,no,pancreas,2.94,1.0,L4
pancreas_249_lesion1_aorta_g32.8,no,aorta,39.83,32.8,L5
pancreas_274_lesion2_inferior_vena_cava_g11.6,yes,inferior_vena_cava,9.14,11.6,L5
pancreas_327_lesion1_aorta_g18.3,no,aorta,27.13,18.3,L5
pancreas_356_lesion1_gallbladder_g14.5,no,gallbladder,22.63,14.5,L3
pancreas_369_lesion1_stomach_g29,yes,stomach,23.24,29.0,L3
pancreas_380_lesion1_lung_lower_lobe_left_g31.4,no,lung_lower_lobe_left,36.52,31.4,L2
pancreas_391_lesion1_lung_lower_lobe_left_g21.3,yes,lung_lower_lobe_left,18.01,21.3,L2
pancreas_395_lesion1_adrenal_gland_left_g15.8,no,adrenal_gland_left,23.78,15.8,L4
pancreas_400_lesion1_aorta_g38.1,yes,aorta,34.82,38.1,L5
pancreas_402_lesion1_liver_g11.7,no,liver,18.76,11.7,L3
pancreas_409_lesion1_vertebrae_T10_g41.9,yes,vertebrae_T10,36.29,41.9,L1
pancreas_412_lesion1_stomach_g1,no,stomach,3.0,1.0,L3
pancreas_414_lesion1_lung_lower_lobe_left_g24.6,yes,lung_lower_lobe_left,20.04,24.6,L2
pancreas_415_lesion1_lung_lower_lobe_left_g2.1,no,lung_lower_lobe_left,5.08,2.1,L2
pancreas_415_lesion1_vertebrae_T10_g42.3,yes,vertebrae_T10,36.68,42.3,L1
colon_001_lesion1_stomach_g1,no,stomach,3.12,1.0,L3
colon_001_lesion1_lung_lower_lobe_left_g27,no,lung_lower_lobe_left,34.25,27.0,L2
colon_008_lesion1_portal_vein_and_splenic_vein_g23.2,no,portal_vein_and_splenic_vein,29.75,23.2,L5
colon_031_lesion1_spleen_g9,yes,spleen,5.43,9.0,L3
colon_074_lesion2_portal_vein_and_splenic_vein_g12.9,no,portal_vein_and_splenic_vein,15.32,12.9,L5
colon_074_lesion4_kidney_right_g31.9,yes,kidney_right,29.58,31.9,L4
colon_075_lesion1_pancreas_g34.5,yes,pancreas,29.98,34.5,L4
colon_103_lesion1_pancreas_g2.7,no,pancreas,5.44,2.7,L4
colon_108_lesion1_lung_lower_lobe_left_g34.6,yes,lung_lower_lobe_left,31.31,34.6,L2
colon_108_lesion1_kidney_left_g11,no,kidney_left,17.38,11.0,L4
colon_127_lesion1_urinary_bladder_g12,no,urinary_bladder,16.33,12.0,L3
colon_129_lesion2_inferior_vena_cava_g23.5,yes,inferior_vena_cava,20.76,23.5,L5
colon_138_lesion1_spinal_cord_g34.2,yes,spinal_cord,30.93,34.2,L5
colon_141_lesion1_lung_upper_lobe_left_g28.3,yes,lung_upper_lobe_left,22.51,28.3,L2
colon_143_lesion1_kidney_right_g22.6,no,kidney_right,32.99,22.6,L4
colon_149_lesion1_small_bowel_g6.6,yes,small_bowel,3.11,6.6,L3
colon_166_lesion1_inferior_vena_cava_g19.9,no,inferior_vena_cava,29.34,19.9,L5
colon_194_lesion1_stomach_g16.3,no,stomach,25.13,16.3,L3
colon_219_lesion1_kidney_right_g12.4,yes,kidney_right,9.07,12.4,L4
